SL.NO.,HEADLINE,URL
38,Netanyahu’s office says he visited UAE secretly during the Iran war,https://www.thehindu.com/news/international/netanyahus-office-says-he-visited-uae-secretly-during-the-iran-war/article70975764.ece
39,From Classrooms to Boardrooms: How Student Clubs Shape Professional Growth at IPE,https://www.thehindu.com/brandhub/from-classrooms-to-boardrooms-how-student-clubs-shape-professional-growth-at-ipe/article70923464.ece
40,Why Traditional Ayurvedic Formulation Methods Are Gaining Attention in Modern Beauty,https://www.thehindu.com/brandhub/why-traditional-ayurvedic-formulation-methods-are-gaining-attention-in-modern-beauty/article70919273.ece
41,NEET-UG cancellation,https://www.thehindu.com/education/neet-ug-2026-cancelled-to-be-reconducted-paper-leak-nta-may-12-2026/article70968713.ece
43,NEET-UG 2026: Investigation finds MBBS student in Kerala forwarded guess paper to friends in Rajasthan,https://www.thehindu.com/news/national/neet-ug-2026-investigation-finds-mbbs-student-in-kerala-forwarded-guess-paper-to-friends-in-rajasthan/article70973761.ece
45,"Students, States, coaching centres say NEET-UG cancellation is unfair, stressful",https://www.thehindu.com/news/national/students-states-coaching-centres-say-neet-ug-cancellation-is-unfair-stressful/article70974229.ece
47,NEET paper leak case: CBI arrests five accused; conducts searches across country,https://www.thehindu.com/news/national/neet-paper-leak-case-cbi-arrests-five-accused-conducts-searches-across-country/article70974329.ece
49,"NEET paper leak case: One detained is Rajasthan BJP leader, claims Ashok Gehlot",https://www.thehindu.com/news/national/rajasthan/neet-paper-leak-case-one-detained-is-rajasthan-bjp-leader-claims-ashok-gehlot/article70974033.ece
51,DMK leader M.K. Stalin condemns alleged purchase of AIADMK members,https://www.thehindu.com/news/national/tamil-nadu/dmk-leader-mk-stalin-condemns-alleged-purchase-of-aiadmk-members/article70973701.ece
53,"Supreme Court stays Madras High Court order on TVK MLA Sethupathi, terms it ‘atrocious’",https://www.thehindu.com/news/national/tamil-nadu-trust-vote-supreme-court-stays-madras-high-court-order-tvk-mla-sethupathi/article70973146.ece
55,"Attempt to smuggle 1,200 bath soaps to Sri Lanka foiled",https://www.thehindu.com/news/cities/Madurai/attempt-to-smuggle-1200-bath-soaps-to-sri-lanka-foiled/article70974168.ece
57,"Tamil Nadu CM Vijay orders closure of 717 TASMAC shops near educational institutions, places of worship",https://www.thehindu.com/news/national/tamil-nadu/tn-cm-vijay-orders-closure-of-tasmac-shops-located-near-educational-institutions-places-of-worship/article70968144.ece
59,"Local transport, storage and human handling are the weakest links in conducting NEET, according to panel report",https://www.thehindu.com/news/national/local-transport-storage-and-human-handling-are-the-weakest-links-in-conducting-neet-according-to-panel-report/article70974678.ece
60,"K. Radhakrishnan Committee had sought overhaul of National Testing Agency; it explained that while doing away with third-party involvement in the exam process is recommended, a district-wise assessment of infrastructure — especially in rural areas — is equally important",https://www.thehindu.com/news/national/local-transport-storage-and-human-handling-are-the-weakest-links-in-conducting-neet-according-to-panel-report/article70974678.ece
62,The ‘cinematisation’ of politics,https://www.thehindu.com/opinion/op-ed/tvk-vijay-tamizhaga-vettri-kazhagam-tamil-nadu-elections-cinematic-politics-crisis-of-purpose/article70956218.ece
64,Christopher Nolan responds to ‘The Odyssey’ backlash over armour designs and Travis Scott casting,https://www.thehindu.com/entertainment/movies/christopher-nolan-responds-to-the-odyssey-backlash-over-armour-designs-and-travis-scott-casting/article70973298.ece
66,AI is being taught in polytechnics. But employers don’t seem excited,https://www.thehindu.com/education/ai-is-being-taught-in-polytechnics-but-employers-dont-seem-excited/article70970616.ece
67,Madras in the 12th century,https://www.thehindu.com/news/cities/chennai/madras-in-the-12th-century/article70969706.ece
68,BJP MLA Tapas Roy sworn in as Pro-tem Speaker of West Bengal Assembly,https://www.thehindu.com/elections/west-bengal-assembly/bjp-mla-tapas-roy-sworn-in-as-pro-tem-speaker-of-west-bengal-assembly/article70970887.ece
70,‘Bangla Pokkho’ founder Garga Chatterjee arrested for spreading EVM misinformation,https://www.thehindu.com/news/national/west-bengal/bangla-pokkho-foundergarga-chatterjee-arrested-for-spreading-evm-misinformation/article70970619.ece
72,"Bengal CM Adhikari to retain Bhabanipur Assembly segment, give up Nandigram",https://www.thehindu.com/elections/west-bengal-assembly/bengal-cm-adhikari-to-retain-bhabanipur-assembly-segment-give-up-nandigram/article70973344.ece
74,Suvendu aide Chandranath Rath murder: CBI takes over probe,https://www.thehindu.com/news/national/west-bengal/suvendu-adhikari-aide-chandranath-rath-murder-cbi-takes-probe/article70968665.ece
76,TMC MLA Madan Mitra hospitalised,https://www.thehindu.com/news/national/west-bengal/tmc-mla-madan-mitra-hospitalised/article70968958.ece
78,Tamil Nadu CM Joseph Vijay wins floor test in Assembly comfortably with 144 votes after AIADMK split,https://www.thehindu.com/news/national/tamil-nadu/tamil-nadu-cm-joseph-vijay-wins-floor-test-in-assembly-comfortably-with-144-votes/article70973260.ece
79,DMK and DMDK walk out; 25 AIADMK rebel MLAs vote for Mr. Vijay,https://www.thehindu.com/news/national/tamil-nadu/tamil-nadu-cm-joseph-vijay-wins-floor-test-in-assembly-comfortably-with-144-votes/article70973260.ece
81,AINRC chief N. Rangasamy sworn in as Chief Minister of Puducherry,https://www.thehindu.com/elections/puducherry-assembly/rangasamy-takes-oath-as-puducherry-cm-for-5th-time/article70972612.ece
83,The law does not favour AIADMK rebels,https://www.thehindu.com/opinion/op-ed/the-law-does-not-favour-aiadmk-rebels/article70975659.ece
85,Kerala Assembly Elections 2026: LDF terms Congress indecision over Chief Minister choice a mockery of democracy,https://www.thehindu.com/news/national/kerala/kerala-assembly-elections-2026-ldf-terms-congress-indecision-over-chief-minister-choice-a-mockery-of-democracy/article70969413.ece
96,Global Faultlines podcast | Why Lebanon remains in perpetual crisis,https://www.thehindu.com/podcast/global-faultlines-podcast-why-lebanon-remains-in-perpetual-crisis/article70973609.ece
97,"In this episode, we examine how Lebanon’s post-war recovery gave way to economic collapse, political paralysis, and renewed conflict, from the 2006 Israel-Hezbollah war to the 2019 protests and the recent crisis.",https://www.thehindu.com/podcast/global-faultlines-podcast-why-lebanon-remains-in-perpetual-crisis/article70973609.ece
99,Women Uninterrupted Podcast | Women who drive - Episode 41,https://www.thehindu.com/podcast/women-uninterrupted-podcast-women-who-drive-episode-41/article70974151.ece
100,"The more women on the roads, the safer is the ecosystem - Taxshe",https://www.thehindu.com/podcast/women-uninterrupted-podcast-women-who-drive-episode-41/article70974151.ece
103,World Cocktail Day: How India’s luxury safari retreats are turning forests into cocktail menus,https://www.thehindu.com/life-and-style/travel/world-cocktail-day-how-indias-luxury-safari-retreats-are-turning-forests-into-cocktail-menus/article70968626.ece
104,The Nilgiris summer festival likely to start this week,https://www.thehindu.com/news/cities/Coimbatore/the-nilgiris-summer-festival-likely-to-start-this-week/article70965054.ece
105,How centuries-old beadwork by pastoral communities from Kutch and Barmer is heading to London Crafts Week,https://www.thehindu.com/entertainment/art/how-centuries-old-beadwork-by-pastoral-communities-from-kutch-and-barmer-is-heading-to-london-crafts-week/article70949668.ece
106,In conversation | What to expect when Kader Attia curates Kochi-Muziris Biennale,https://www.thehindu.com/entertainment/art/kader-attia-curator-kochi-muziris-biennale-2027/article70968985.ece
107,Why India’s best bars are going Japanese,https://www.thehindu.com/food/features/why-indias-best-bars-are-going-japanese/article70937989.ece
108,Cases by nationality,https://www.thehindu.com/news/international/hantavirus-confirmed-cases-by-nationality/article70968106.ece
109,Hantavirus explained,https://www.thehindu.com/podcast/in-focus-podcast-hantavirus-explained-the-science-behind-the-scare/article70965890.ece
110,Watch: WHO official appeals for calm,https://www.thehindu.com/videos/hantavirus-on-cruise-ship-top-who-official-appeals-for-calm-even-as-passengers-are-evacuated/article70966124.ece
111,"French hantavirus patient is critically ill, on artificial lung as total cases grow to 11",https://www.thehindu.com/news/international/french-hantavirus-patient-is-critically-ill-on-artificial-lung-as-total-cases-grow-to-11/article70972395.ece
112,"The outbreak has now reached 11 total reported cases, 9 of which have been confirmed",https://www.thehindu.com/news/international/french-hantavirus-patient-is-critically-ill-on-artificial-lung-as-total-cases-grow-to-11/article70972395.ece
114,WHO chief says 'work not over' after hantavirus evacuation,https://www.thehindu.com/news/international/who-chief-says-work-not-over-after-hantavirus-evacuation/article70968965.ece
116,Last evacuation flights from hantavirus ship land in Netherlands,https://www.thehindu.com/news/international/last-evacuation-flights-from-hantavirus-ship-land-in-netherlands/article70968118.ece
118,Americans from virus-hit ship will not necessarily be quarantined: official,https://www.thehindu.com/news/international/americans-from-virus-hit-ship-will-not-necessarily-be-quarantined-official/article70964344.ece
120,"Cannot overthink, overanalyse: PBKS coach",https://www.thehindu.com/sport/cricket/ipl-2026-we-cannot-overthink-and-overanalyse-says-pbks-coach-bahutule/article70970376.ece
121,Irfan Pathan Interview,https://www.thehindu.com/sport/cricket/irfan-pathan-ipl-2026-suryavanshi-bumrah-pant-srh-gujarat-titans-analysis-interview/article70971523.ece
122,Buoyant RCB stands in the way of KKR’s fifth straight win,https://www.thehindu.com/sport/cricket/ipl-2026-buoyant-rcb-stands-in-the-way-of-kkrs-fifth-straight-win/article70970394.ece
123,"In a season with fine margins and unpredictable outcomes, the positive result helped RCB get some breathing space in the playoff race",https://www.thehindu.com/sport/cricket/ipl-2026-buoyant-rcb-stands-in-the-way-of-kkrs-fifth-straight-win/article70970394.ece
125,Rabada and Holder rip through SRH as GT goes top,https://www.thehindu.com/sport/cricket/ipl-2026-rabada-and-holder-rip-through-srh-as-gt-goes-top/article70971468.ece
127,"In PowerPlay era, the safe score concept becomes obsolete",https://www.thehindu.com/sport/cricket/ipl-2026-in-powerplay-era-the-safe-score-concept-becomes-obsolete/article70971486.ece
129,KKR found what works for them,https://www.thehindu.com/sport/cricket/ipl-2026-we-now-have-an-understanding-of-what-works-for-us-says-kkr-assistant-coach-watson/article70970518.ece
133,The ‘Kutty Story’ phenomenon: How Vijay prepared voters with his audio launch speeches,https://www.thehindu.com/entertainment/movies/chief-minister-thalapathy-vijay-tvk-kutty-story-audio-launch-speeches-tamizhaga-vettri-kazhagam/article70969250.ece
135,Stanley Tucci on ‘Tucci in Italy’: ‘I am just the conduit’,https://www.thehindu.com/entertainment/movies/stanley-tucci-on-tucci-in-italy-i-am-just-the-conduit/article70966790.ece
137,Randeep Hooda: I find a lot of crime dramas on OTT quite boring,https://www.thehindu.com/entertainment/movies/randeep-hooda-crime-dramas-ott-inspector-avinash-season-2-neeraj-pathak/article70971364.ece
139,"Cannes 2026: Peter Jackson receives Honorary Palme d’Or at Cannes, says festival helped save ‘The Lord of the Rings’",https://www.thehindu.com/entertainment/movies/cannes-2026-peter-jackson-receives-honorary-palme-dor-at-cannes-says-festival-helped-save-the-lord-of-the-rings/article70973177.ece
140,The ‘cinematisation’ of politics,https://www.thehindu.com/opinion/op-ed/tvk-vijay-tamizhaga-vettri-kazhagam-tamil-nadu-elections-cinematic-politics-crisis-of-purpose/article70956218.ece
142,‘Chiyaan 63’: Riya Shibu joins Vikram’s film with Anand Shankar,https://www.thehindu.com/entertainment/movies/chiyaan-63-vikram-riya-shibu-anand-shankar-sathya-jyothi-films-sarvam-maya-delulu/article70974276.ece
144,"Jai plays a Vijay fan in his upcoming film, ‘Sattendru Maarudhu Vaanilai’",https://www.thehindu.com/entertainment/movies/jai-plays-a-vijay-fan-in-his-upcoming-film-sattendru-maarudhu-vaanilai/article70974175.ece
146,Kohli’s masterful knock powers Royal Challengers to the top,https://www.thehindu.com/sport/cricket/kohlis-masterful-knock-powers-royal-challengers-to-the-top/article70975813.ece
148,A bronze that confirmed India’s elite status,https://www.thehindu.com/sport/a-bronze-that-confirmed-indias-elite-status/article70975807.ece
150,Punjab Kings seeks turnaround against Mumbai Indians,https://www.thehindu.com/sport/cricket/punjab-kings-seeks-turnaround-against-mumbai-indians/article70975284.ece
152,Students of Sri Ramachandra Sri Ramachandra Institute develop health app,https://www.thehindu.com/sci-tech/health/students-of-sri-ramachandra-sri-ramachandra-institute-develop-health-app/article70974401.ece
154,What the AMH test tells you about your fertility and what it does not,https://www.thehindu.com/sci-tech/health/what-the-amh-test-tells-you-about-your-fertility-and-what-it-does-not/article70973032.ece
156,Small study hints that revving up immune cells might help fight HIV,https://www.thehindu.com/sci-tech/science/small-study-hints-that-revving-up-immune-cells-might-help-fight-hiv/article70973352.ece
158,Small study hints that revving up immune cells might help fight HIV,https://www.thehindu.com/sci-tech/science/small-study-hints-that-revving-up-immune-cells-might-help-fight-hiv/article70973352.ece
160,India’s genetic mosaic: how understanding our genes can help improve our health,https://www.thehindu.com/sci-tech/health/indias-genetic-mosaic-how-understanding-our-genes-can-help-improve-our-health/article70958352.ece
162,"IIT-M, IISc team makes carbon-free version of the ferrocene sandwich",https://www.thehindu.com/sci-tech/science/iit-m-iisc-team-makes-carbon-free-version-of-the-ferrocene-sandwich/article70968224.ece
164,Broke Bibliophiles bookmarks 10 years of existance,https://www.thehindu.com/life-and-style/broke-bibliophiles-bookmarks-10-years-of-existance/article70950506.ece
166,Review | Earthbound–Climate Stories from South Asia: the unequal race to survive,https://www.thehindu.com/books/books-reviews/earthbound-climate-stories-alina-gufran-doomsday-clock-global-warming/article70823039.ece
168,Review | The Binding by Salma is a quiet meditation on overcoming odds,https://www.thehindu.com/books/books-reviews/the-binding-author-salma-translation-tamil-muslim-community/article70962880.ece
170,"Testing troubles: On the National Testing Agency, NEET-UG 2026",https://www.thehindu.com/opinion/editorial/testing-troubles-on-the-national-testing-agency-neet-ug-2026/article70974446.ece
172,"Local transport, storage and human handling are the weakest links in conducting NEET, according to panel report",https://www.thehindu.com/news/national/local-transport-storage-and-human-handling-are-the-weakest-links-in-conducting-neet-according-to-panel-report/article70974678.ece
174,"Don't be ‘self-centred’, RTE is for the benefit of children: Supreme Court tells teachers, States in TET review",https://www.thehindu.com/news/national/dont-be-self-centred-rte-is-for-the-benefit-of-children-supreme-court-tells-teachers-states-in-tet-review/article70975105.ece
176,Urrak plantation hopping in Goa,https://www.thehindu.com/life-and-style/goa-urrak-season-cashew-spirit-plantation-trails-feni/article70924193.ece
178,Stir-fried happiness in Madurai,https://www.thehindu.com/life-and-style/food/stir-fried-happiness-in-madurai/article70890134.ece
180,Shakespeare’s food universe: Eat the Bard’s words on his birthday,https://www.thehindu.com/books/shakespeare-food-universe-bard-culinary-books-amitav-ghosh/article70873496.ece
182,Tamil Nadu Assembly election 2026 LIVE,https://www.thehindu.com/elections/tamil-nadu-assembly/tamil-nadu-assembly-election-2026-voting-live-updates-23-april-2026/article70894196.ece
183,West Bengal Elections 2026 Phase 1 Voting LIVE,https://www.thehindu.com/elections/west-bengal-assembly/west-bengal-assembly-elections-phase-1-voting-live-updates-23-april-2026/article70893822.ece
184,"Tamil Nadu elections: Delays, limited bus services affect polling day travel across State",https://www.thehindu.com/elections/tamil-nadu-assembly/tamil-nadu-elections-delays-limited-bus-services-affect-polling-day-travel-across-state/article70895906.ece
185,Why is the Strait of Hormuz critical to global energy flows? | Explained,https://www.thehindu.com/news/international/why-is-the-strait-of-hormuz-critical-to-global-energy-flows-explained/article70865249.ece
186,What changed in Hungary’s election? | Explained,https://www.thehindu.com/news/international/what-changed-in-hungarys-election-explained/article70865139.ece
187,What the Trans Amendment does to a student,https://www.thehindu.com/education/what-the-trans-amendment-does-to-a-student/article70856648.ece
188,Why are saturated fats bad for the heart but unsaturated fats are okay?,https://www.thehindu.com/sci-tech/science/why-are-saturated-fats-bad-for-the-heart-but-unsaturated-fats-are-okay/article70864343.ece
189,Stock Market Live Updates,https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-1st-april-2024/article68012792.ece
190,SRH vs DC Live Score,https://sportstar.thehindu.com/cricket/ipl/srh-vs-dc-live-score-sunrisers-hyderabad-delhi-capitals-ipl-2026-live-updates-21-april/article70888312.ece
191,IND vs ENG Test Series Full Results,https://sportstar.thehindu.com/cricket/india-vs-england-test-series-result-eng-vs-ind-full-list-wins-results-tests/article69704557.ece
192,Arvind Kejriwal Exclusive Interview,https://frontline.thehindu.com/politics/arvind-kejriwal-exclusive-interview-delhi-election-2025-voting-aap-vs-bjp-vs-congress/article69131147.ece?utm_source=th&utm_medium=footer&utm_campaign=internal
193,Editor’s Note: Putting Muslims in their place?,https://frontline.thehindu.com/the-nation/waqf-amendment-bill-impact-indian-muslims-reforms-consultative-process-othering-backwardness/article68849163.ece?utm_source=th&utm_medium=footer&utm_campaign=internal
194,The ‘cinematisation’ of politics,https://www.thehindu.com/opinion/op-ed/tvk-vijay-tamizhaga-vettri-kazhagam-tamil-nadu-elections-cinematic-politics-crisis-of-purpose/article70956218.ece
195,Visakhapatnam Collector calls for inter-departmental synergy to boost investments,https://www.thehindu.com/news/cities/Visakhapatnam/visakhapatnam-collector-calls-for-inter-departmental-synergy-to-boost-investments/article70974867.ece
196,Kohli’s masterful knock powers Royal Challengers to the top,https://www.thehindu.com/sport/cricket/kohlis-masterful-knock-powers-royal-challengers-to-the-top/article70975813.ece
197,Senior IPS officer Asra Garg posted IGP Intelligence,https://www.thehindu.com/news/cities/chennai/senior-ips-officer-asra-garg-posted-igp-intelligence/article70974778.ece
198,"BJP, Congress attack SP over party spokesperson’s remark on Brahmins; FIR registered",https://www.thehindu.com/news/national/uttar-pradesh/bjp-congress-attack-sp-over-party-spokespersons-remark-on-brahmins-fir-registered/article70975047.ece
199,Annakili@50: The extraordinary journey of maestro Ilaiyaraaja,https://www.thehindu.com/news/national/tamil-nadu/annakili50-the-extraordinary-journey-of-maestro-ilaiyaraaja/article70975382.ece
200,Man arrested for job fraud,https://www.thehindu.com/news/cities/chennai/man-arrested-for-job-fraud/article70974894.ece
201,Udhayachandran to assume office as CMD of TNIICL,https://www.thehindu.com/news/national/tamil-nadu/udhayachandran-to-assume-office-as-cmd-of-tniicl/article70974360.ece
202,IJCCI calls for applications for CEO Business Matching Event,https://www.thehindu.com/news/cities/chennai/ijcci-calls-for-applications-for-ceo-business-matching-event/article70974521.ece
203,A hundred years ago | Merchandise marks bill,https://www.thehindu.com/archives/from-the-hindu-archives-may-14-1926-merchandise-marks-bill/article70974793.ece
